category,tag,words
female,repost,"['era', 'situationship']"
female,lentejas,"['era', 'queen']"
female,taylor,"['era', 'queen']"
female,miami,"['era', 'snatched']"
female,2000s,"['era', 'onika burgers']"
female,baddie,"['era', 'giving', 'diva']"
female,music,"['era', 'onika burgers', 'queen', 'situationship', 'diva']"
female,meaning,"['face card', 'yap']"
female,lsu,"['face card', 'situationship']"
female,lmao,"['face card', 'flop']"
female,fastfood,"['face card', 'eating']"
female,tiktokshop,"['face card', 'snatched']"
female,💜,"['flop', 'onika burgers']"
female,potaxies🥑👄🥑,"['flop', 'slay']"
female,money,"['flop', 'serving']"
female,sound,"['flop', 'delulu']"
female,acting,"['girl dinner', 'yap']"
female,story,"['girl dinner', 'giving', 'eating']"
female,foodtok,"['girl dinner', 'eating']"
female,foodie,"['girl dinner', 'eating']"
female,dinner,"['girl dinner', 'eating', 'snatched']"
female,cheese,"['girl dinner', 'eating']"
female,reels,"['giving', 'queen', 'delulu']"
female,ootd,"['giving', 'queen', 'serving', 'snatched']"
female,podcast,"['giving', 'pookie', 'situationship']"
female,marriage,"['giving', 'situationship', 'eating']"
female,nickiminaj,"['onika burgers', 'delulu', 'queening']"
female,for,"['onika burgers', 'queen']"
female,albania,"['onika burgers', 'slay']"
female,pop,"['onika burgers', 'queen']"
female,teamwork,"['onika burgers', 'serving']"
female,dontflop,"['onika burgers', 'diva']"
female,memecut,"['pookie', 'queening']"
female,original,"['pookie', 'situationship']"
female,singing,"['pookie', 'queen']"
female,scream,"['pookie', 'slay']"
female,wholesome,"['pookie', 'queen']"
female,foodtiktok,"['pookie', 'eating']"
female,cooking,"['pookie', 'eating']"
female,queen,"['queen', 'queening']"
female,lyrics_songs,"['queen', 'delulu']"
female,dubai,"['queen', 'diva']"
female,crush,"['situationship', 'delulu']"
female,fall,"['slay', 'yap']"
female,xuhuong,"['slay', 'eating']"
female,linguistics,"['slay', 'yap']"
female,language,"['slay', 'yap']"
female,communication,"['slay', 'queening']"
female,rant,"['yap', 'chronically online']"
female,movies,"['yap', 'chronically online']"
female,audio,"['chronically online', 'delulu']"
female,artist,"['delulu', 'snatched']"
female,procreate,"['delulu', 'snatched']"
female,dancetrend,"['delulu', 'diva']"
female,raw,"['eating', 'serving']"
female,recipe,"['eating', 'snatched']"
female,beforeandafter,"['roman empire', 'snatched']"
