category,word,date,views,text,hashtags,link
female,queening,2024-10-20,7.000000000000001e-05," created by queening5444jahbless with Luther Vandross’s Never Too Much (12"" Version)",[],https://www.tiktok.com/@queening54441/video/7427816725217004846
female,queening,2024-1-9,0.058,what makes a good niche? 🤔 #fyp #fragrancetok #fragrance #jeremyfragrance #tiktok #bondno9 #mindgames #maisonfranciskurkdjian #initioparfums #lelabo #fragrances #foryou  created by knowsnothingabtfragrance with knowsnothingabtfragrance’s original sound,"['fragrancetok', 'fragrance', 'jeremyfragrance', 'tiktok', 'bondno9', 'mindgames', 'maisonfranciskurkdjian', 'initioparfums', 'lelabo', 'fragrances']",https://www.tiktok.com/@knowsnothingabtfragrance/video/7322000735598660907
female,queening,2024-9-16,0.16,#Queening #looksbetterinblack  created by “QUEEN” with Don Altae’s Chocolate Girls,"['queening', 'looksbetterinblack']",https://www.tiktok.com/@nicolewashington272/video/7415419691776199967
female,queening,2024-6-16,0.887,Love @mindgamesfragrance! #mindgames #queening #fragrances #fragranceshopping #cologne #fragrancereview #sbfragrances #fragrance #perfume #cologne #fragranceshopping #fyp #fypage #neimanmarcus  created by SB Fragrances with Percy Faith’s Theme From A Summer Place,"['mindgames', 'queening', 'fragrances', 'fragranceshopping', 'cologne', 'fragrancereview', 'sbfragrances', 'fragrance', 'perfume', 'cologne', 'fragranceshopping', 'neimanmarcus']",https://www.tiktok.com/@sbfragrances/video/7381237206083620142
female,queening,2022-9-17,0.032799999999999996,blessed day. @#Queening #blessed  created by user8046115143796 with Gettiren’s original sound,"['queening', 'blessed']",https://www.tiktok.com/@wajemuthi/video/7144525563552763182
female,queening,2024-2-2,0.0686, created by Xsaadhabaddest with Xsaadhabaddest’s original sound,[],https://www.tiktok.com/@wurrrys/video/7330925364329614638
female,queening,2024-10-28,0.0059,#Queening  created by Chinna Prude Anderso with JAY-Z’s Excuse Me Miss,['queening'],https://www.tiktok.com/@chinna1979/video/7430629136885943582
female,queening,2024-5-26,0.448,Top 3 Mindgames fragrances! #cologne #fragrance #thecologneboy  created by TheCologneBoy with TheCologneBoy’s original sound,"['cologne', 'fragrance', 'thecologneboy']",https://www.tiktok.com/@thecologneboy/video/7373440103319883013
female,queening,2024-10-16,0.0046,#slay #fyp  created by Sasha with Charli xcx’s No Angel,['slay'],https://www.tiktok.com/@itssashamaybe/video/7426379371318955310
female,queening,2024-10-3,0.136,#fyp #fyppppppppppppppppppppppp #relationship #mine  created by Queening with Code G & Persona’s Stayed Down,"['relationship', 'mine']",https://www.tiktok.com/@caramel_queen26/video/7421661441780059438
female,queening,2024-10-10,0.34650000000000003,Was my fragrance trade with @TheCologneBoy fake? #fragrance #fragrancetiktok #mindgamesqueening #unisexfragrance #vanillafragrance  created by Cal Cologne with Prod. By Rose’s Winter Rain,"['fragrance', 'fragrancetiktok', 'mindgamesqueening', 'unisexfragrance', 'vanillafragrance']",https://www.tiktok.com/@calcologne/video/7424245470463003946
female,queening,2024-10-6,0.004200000000000001,Queening out 🤪 @Chase Icon  created by XCXTRA 🤡 with Chase Icon’s 808,[],https://www.tiktok.com/@timmyyluna/video/7422848783039466794
female,queening,2023-5-13,0.0468,Love it! 🤭😂 #theebiking  created by J 👑 (They/He) with 🐓’s original sound,['theebiking'],https://www.tiktok.com/@a_bi.royal/video/7232814065331227950
female,queening,2024-2-7,0.012,Gifted | What happens when you combine the clean girl aesthetic and vanilla gourmand? Queening by @mindgamesfragrance #queening #mindgamesqueening #fragrance #fragrancereview #CapCut  created by Jesse | Fragrance Reviews with Jesse | Fragrance Reviews’s original sound,"['queening', 'mindgamesqueening', 'fragrance', 'fragrancereview', 'capcut']",https://www.tiktok.com/@jessescentials/video/7332983778798865706
female,queening,2024-2-6,0.437,Replying to @Marie Christine QUEENING FULL DAY WEAR TEST . . #perfumetok #fragrancetok #fragcomm #fraghead #perfume #nichefragrance #nichetok #nicheperfume #mindgamesfragrance #queening #mindgamesqueening #perfumeweartest #weartest #perfumereviews #perfumereview #sillage  created by Christine | frag_analysis with Christine | frag_analysis’s original sound,"['perfumetok', 'fragrancetok', 'fragcomm', 'fraghead', 'perfume', 'nichefragrance', 'nichetok', 'nicheperfume', 'mindgamesfragrance', 'queening', 'mindgamesqueening', 'perfumeweartest', 'weartest', 'perfumereviews', 'perfumereview', 'sillage']",https://www.tiktok.com/@frag_analysis/video/7332642258879040814
female,queening,2024-10-30,0.0031000000000000003,#Meme #MemeCut #fyppppppppppppppppppppppp #fypシ #viralvideo  created by Queening with Notworthit’s original sound,"['meme', 'memecut']",https://www.tiktok.com/@caramel_queen26/video/7431452482783513902
female,queening,2021-8-13,0.0424,What is 👑queening?👑 #nickiminaj #selflove #sexpositive #kinkpositivie #queen #sexpert #women #communication #sexualhealth created by Girlsonprn with Girlsonprn’s original sound,"['nickiminaj', 'selflove', 'sexpositive', 'kinkpositivie', 'queen', 'sexpert', 'women', 'communication', 'sexualhealth']",https://www.tiktok.com/@girlsonprn/video/6995919742385081605
female,queening,2024-10-13,0.8290000000000001,"when I get my king, it’s up from there #fyp #fy #fypシ #relationshipgoals #fyppppppppppppppppppppppp  created by Queening with Code G & Persona’s Stayed Down","['fy', 'relationshipgoals']",https://www.tiktok.com/@caramel_queen26/video/7425117485738822958
female,queening,2024-10-22,2e-05, created by queening5444jahbless with AZ’s I'm Back,[],https://www.tiktok.com/@queening54441/video/7428466404896329006
female,queening,2024-9-3,0.004200000000000001,#CapCut #goals #fyp  created by Queening with Lastra’s Trap Mafia,"['capcut', 'goals']",https://www.tiktok.com/@caramel_queen26/video/7410625331125652782
female,queening,2024-3-2,0.027100000000000003,QUEENING  created by Kelly black cherry 🍒 with Christopher Martin’s I'm A Big Deal,[],https://www.tiktok.com/@kellyblackcherry/video/7341903608985816363
female,queening,2024-10-20,7.000000000000001e-05," created by queening5444jahbless with Luther Vandross’s Never Too Much (12"" Version)",[],https://www.tiktok.com/@queening54441/video/7427816725217004846
female,queening,2024-1-9,0.058,what makes a good niche? 🤔 #fyp #fragrancetok #fragrance #jeremyfragrance #tiktok #bondno9 #mindgames #maisonfranciskurkdjian #initioparfums #lelabo #fragrances #foryou  created by knowsnothingabtfragrance with knowsnothingabtfragrance’s original sound,"['fragrancetok', 'fragrance', 'jeremyfragrance', 'tiktok', 'bondno9', 'mindgames', 'maisonfranciskurkdjian', 'initioparfums', 'lelabo', 'fragrances']",https://www.tiktok.com/@knowsnothingabtfragrance/video/7322000735598660907
female,queening,2024-9-16,0.16,#Queening #looksbetterinblack  created by “QUEEN” with Don Altae’s Chocolate Girls,"['queening', 'looksbetterinblack']",https://www.tiktok.com/@nicolewashington272/video/7415419691776199967
female,queening,2024-6-16,0.887,Love @mindgamesfragrance! #mindgames #queening #fragrances #fragranceshopping #cologne #fragrancereview #sbfragrances #fragrance #perfume #cologne #fragranceshopping #fyp #fypage #neimanmarcus  created by SB Fragrances with Percy Faith’s Theme From A Summer Place,"['mindgames', 'queening', 'fragrances', 'fragranceshopping', 'cologne', 'fragrancereview', 'sbfragrances', 'fragrance', 'perfume', 'cologne', 'fragranceshopping', 'neimanmarcus']",https://www.tiktok.com/@sbfragrances/video/7381237206083620142
female,queening,2022-9-17,0.032799999999999996,blessed day. @#Queening #blessed  created by user8046115143796 with Gettiren’s original sound,"['queening', 'blessed']",https://www.tiktok.com/@wajemuthi/video/7144525563552763182
female,queening,2024-2-2,0.0686, created by Xsaadhabaddest with Xsaadhabaddest’s original sound,[],https://www.tiktok.com/@wurrrys/video/7330925364329614638
female,queening,2024-10-28,0.0059,#Queening  created by Chinna Prude Anderso with JAY-Z’s Excuse Me Miss,['queening'],https://www.tiktok.com/@chinna1979/video/7430629136885943582
female,queening,2024-5-26,0.448,Top 3 Mindgames fragrances! #cologne #fragrance #thecologneboy  created by TheCologneBoy with TheCologneBoy’s original sound,"['cologne', 'fragrance', 'thecologneboy']",https://www.tiktok.com/@thecologneboy/video/7373440103319883013
female,queening,2024-10-16,0.0046,#slay #fyp  created by Sasha with Charli xcx’s No Angel,['slay'],https://www.tiktok.com/@itssashamaybe/video/7426379371318955310
